17:4:32.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9389N, 112.4908, W, Speed (knots): , 26.57, Angle: 62.29, Altitude: 17286.80, Satellites: 10
17:4:36.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9390N, 112.4904, W, Speed (knots): , 21.14, Angle: 61.55, Altitude: 17215.00, Satellites: 10
17:4:38.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9391N, 112.4901, W, Speed (knots): , 19.87, Angle: 59.34, Altitude: 17165.40, Satellites: 10
17:4:40.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9392N, 112.4898, W, Speed (knots): , 27.28, Angle: 46.26, Altitude: 17117.60, Satellites: 10
17:4:43.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9394N, 112.4894, W, Speed (knots): , 21.76, Angle: 60.72, Altitude: 17048.50, Satellites: 10
17:4:44.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9394N, 112.4891, W, Speed (knots): , 24.40, Angle: 69.58, Altitude: 17001.90, Satellites: 10
17:4:47.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9395N, 112.4888, W, Speed (knots): , 26.16, Angle: 91.29, Altitude: 16957.50, Satellites: 10
17:4:48.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9395N, 112.4885, W, Speed (knots): , 25.01, Angle: 79.34, Altitude: 16912.90, Satellites: 10
17:4:51.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9395N, 112.4881, W, Speed (knots): , 24.98, Angle: 74.19, Altitude: 16866.40, Satellites: 10
17:4:54.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9396N, 112.4877, W, Speed (knots): , 29.25, Angle: 65.07, Altitude: 16795.20, Satellites: 10
17:4:56.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9397N, 112.4874, W, Speed (knots): , 23.23, Angle: 62.53, Altitude: 16747.20, Satellites: 10
17:4:58.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9397N, 112.4871, W, Speed (knots): , 18.97, Angle: 79.82, Altitude: 16700.20, Satellites: 10
17:5:0.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9398N, 112.4867, W, Speed (knots): , 22.58, Angle: 73.88, Altitude: 16630.10, Satellites: 10
17:5:3.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9398N, 112.4865, W, Speed (knots): , 21.03, Angle: 70.82, Altitude: 16582.40, Satellites: 10
17:5:6.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9398N, 112.4861, W, Speed (knots): , 16.49, Angle: 104.32, Altitude: 16515.30, Satellites: 10
17:5:8.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9398N, 112.4858, W, Speed (knots): , 21.08, Angle: 101.69, Altitude: 16465.10, Satellites: 10
17:5:10.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9398N, 112.4855, W, Speed (knots): , 21.60, Angle: 83.71, Altitude: 16417.80, Satellites: 10
17:5:12.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9398N, 112.4852, W, Speed (knots): , 21.75, Angle: 92.32, Altitude: 16371.70, Satellites: 10
17:5:15.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9398N, 112.4847, W, Speed (knots): , 28.65, Angle: 87.13, Altitude: 16305.40, Satellites: 10
17:5:18.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9398N, 112.4842, W, Speed (knots): , 24.30, Angle: 87.07, Altitude: 16246.10, Satellites: 10
17:5:20.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9398N, 112.4839, W, Speed (knots): , 22.77, Angle: 89.78, Altitude: 16204.60, Satellites: 10
17:5:22.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9397N, 112.4835, W, Speed (knots): , 27.03, Angle: 97.43, Altitude: 16159.60, Satellites: 10
17:5:24.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9397N, 112.4829, W, Speed (knots): , 30.23, Angle: 83.39, Altitude: 16090.00, Satellites: 10
17:5:27.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9397N, 112.4824, W, Speed (knots): , 34.60, Angle: 79.74, Altitude: 16041.60, Satellites: 10
17:5:28.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9398N, 112.4819, W, Speed (knots): , 36.71, Angle: 84.85, Altitude: 15998.40, Satellites: 10
17:5:31.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9398N, 112.4814, W, Speed (knots): , 37.62, Angle: 76.41, Altitude: 15957.30, Satellites: 10
17:5:34.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9398N, 112.4806, W, Speed (knots): , 34.33, Angle: 88.13, Altitude: 15889.80, Satellites: 10
17:5:36.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9397N, 112.4800, W, Speed (knots): , 38.04, Angle: 96.63, Altitude: 15840.10, Satellites: 10
17:5:39.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9397N, 112.4791, W, Speed (knots): , 46.76, Angle: 90.58, Altitude: 15771.10, Satellites: 10
17:5:40.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9397N, 112.4785, W, Speed (knots): , 47.13, Angle: 88.17, Altitude: 15725.40, Satellites: 10
17:5:43.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9396N, 112.4779, W, Speed (knots): , 47.47, Angle: 89.54, Altitude: 15678.00, Satellites: 10
17:5:46.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9396N, 112.4769, W, Speed (knots): , 50.81, Angle: 91.79, Altitude: 15614.00, Satellites: 10
17:5:48.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9397N, 112.4763, W, Speed (knots): , 55.91, Angle: 76.54, Altitude: 15574.90, Satellites: 10
17:5:50.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9398N, 112.4755, W, Speed (knots): , 46.77, Angle: 78.65, Altitude: 15535.70, Satellites: 10
