time, Longitude, Longitude, Speed(Kn), Angle(°), Altatude(m),,,,
8:10:40 AM,43.8399,-112.2548,0.03,140.2,1508.3,,,,
6:10:42 PM,43.8399,-112.2548,0.02,219.03,1508.3,,,,
6:10:45 PM,43.8399,-112.2548,0.01,159.7,1508.3,,,,
8:10:47 AM,43.8399,-112.2548,0,71.29,1508.3,,,,
6:10:50 PM,43.8399,-112.2548,0.04,25.23,1508.3,,,,
8:10:52 AM,43.8399,-112.2548,0.01,63.16,1508.3,,,,
8:10:54 AM,43.8399,-112.2548,0.01,98.55,1508.3,,,,
8:10:57 AM,43.8399,-112.2548,0.01,199.33,1508.3,,,,
8:10:59 AM,43.8399,-112.2548,0.02,257.89,1508.3,,,,
6:11:01 PM,43.8399,-112.2548,0.02,147.38,1508.3,,,,
8:11:03 AM,43.8399,-112.2548,0.02,209.5,1508.3,,,,
8:11:06 AM,43.8399,-112.2548,0.01,216.88,1508.3,,,,
8:11:08 AM,43.8399,-112.2548,0.01,5.74,1508.3,,,,
8:11:10 AM,43.8399,-112.2548,0.01,340.59,1508.3,,,,
8:11:13 AM,43.8399,-112.2548,0.01,295.36,1508.3,,,,
8:11:15 AM,43.8399,-112.2548,0.05,85.29,1508.3,,,,
8:11:18 AM,43.8399,-112.2548,0.01,93.81,1508.3,,,,
8:11:20 AM,43.8399,-112.2548,0.03,27.18,1508.3,,,,
8:11:22 AM,43.8399,-112.2548,0.07,287.08,1508.3,,,,
8:11:24 AM,43.8399,-112.2548,0.03,155.81,1508.3,,,,
8:11:27 AM,43.8399,-112.2548,0.04,275.35,1508.3,,,,
8:11:29 AM,43.8399,-112.2548,0.02,127.54,1508.3,,,,
6:11:31 PM,43.8399,-112.2548,0.04,253.19,1508.3,,,,
8:11:34 AM,43.8399,-112.2548,0.01,283.52,1508.3,,,,
6:11:36 PM,43.8399,-112.2548,0.02,316.66,1508.3,,,,
6:11:39 PM,43.8399,-112.2548,0.01,329.59,1508.3,,,,
6:11:41 PM,43.8399,-112.2548,0.02,45.71,1508.3,,,,
8:11:43 AM,43.8399,-112.2548,0,163.93,1508.3,,,,
8:11:45 AM,43.8399,-112.2548,0,252.4,1508.3,,,,
8:11:48 AM,43.8399,-112.2548,0.01,4.92,1508.3,,,,
8:11:50 AM,43.8399,-112.2548,0.02,67.17,1508.3,,,,
8:11:52 AM,43.8399,-112.2548,0,25.65,1508.3,,,,
8:11:55 AM,43.8399,-112.2548,0.05,5.5,1508.3,,,,
8:11:57 AM,43.8399,-112.2548,0.01,7.1,1508.3,,,,
8:11:59 AM,43.8399,-112.2548,0.02,340.66,1508.3,,,,
8:12:01 AM,43.8399,-112.2548,0.01,316.24,1508.3,,,,
8:12:03 AM,43.8399,-112.2548,0.02,329.92,1508.3,,,,
8:12:06 AM,43.8399,-112.2548,0.01,193.5,1508.2,,,,
8:12:08 AM,43.8399,-112.2548,0.03,173.64,1508.2,,,,
8:12:10 AM,43.8399,-112.2548,0.08,305.85,1508.3,,,,
8:12:12 AM,43.8399,-112.2548,0.01,230.79,1508.3,,,,
8:12:15 AM,43.8399,-112.2548,0.01,286.63,1508.3,,,,
8:12:17 AM,43.8399,-112.2548,0.01,195.68,1508.3,,,,
8:12:19 AM,43.8399,-112.2548,0.02,241.14,1508.3,,,,
8:12:21 AM,43.8399,-112.2548,0.01,201.01,1508.3,,,,
6:12:23 PM,43.8399,-112.2548,0.02,70.15,1508.3,,,,
8:12:25 AM,43.8399,-112.2548,0.02,59.85,1508.3,,,,
8:12:27 AM,43.8399,-112.2548,0.01,189.83,1508.3,,,,
8:12:30 AM,43.8399,-112.2548,0.01,190.03,1508.3,,,,
8:12:33 AM,43.8399,-112.2548,0,24.49,1508.3,,,,
8:12:36 AM,43.8399,-112.2548,0.07,43.95,1508.3,,,,
8:12:38 AM,43.8399,-112.2548,0.16,101.81,1508.3,,,,
8:12:41 AM,43.8399,-112.2548,0.22,178,1508.3,,,,
8:12:43 AM,43.8399,-112.2548,0.53,178.45,1508.3,,,,
