START OF NEW COLLECT
Day 1- 7:51:50,342.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:51,342.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:51,338.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:52,338.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:52,333.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:53,333.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:53,328.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:54,328.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:54,326.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:55,326.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:55,315.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:56,315.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:56,306.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:57,306.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:57,295.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:58,295.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:58,284.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:59,284.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:59,274.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:0,274.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:0,262.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:1,262.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:1,255.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:2,255.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:2,249.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:3,249.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:3,242.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:4,242.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:4,234.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:5,234.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:5,229.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:6,229.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:6,227.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:7,227.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:7,224.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:8,224.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:8,217.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:9,217.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:9,210.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:10,210.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:10,208.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:11,208.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:11,206.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:12,206.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:12,203.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:13,203.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:13,199.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:14,199.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:14,192.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:15,192.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:15,190.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:16,190.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:16,187.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:17,187.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:17,187.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:18,187.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:18,184.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:19,184.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:19,186.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:20,186.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:20,185.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:21,185.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:21,181.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:22,181.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:22,181.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:23,181.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:23,182.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:24,182.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:24,181.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:25,181.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:25,178.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:26,178.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:26,180.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:27,180.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:27,181.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:28,181.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:28,182.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:29,182.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:29,179.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:30,179.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:30,179.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:31,179.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:31,182.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:32,182.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:32,185.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:33,185.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:33,190.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:34,190.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:34,189.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:35,189.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:35,191.00, 0.00 N,0.00W, altitude:0.00
